utc,symbol
2026-04-10T20:15:00+00:00,AVNTUSDT
2026-04-10T20:45:00+00:00,SPKUSDT
2026-04-10T23:00:00+00:00,IRYSUSDT
2026-04-11T00:00:00+00:00,ARBUSDT
2026-04-11T00:00:00+00:00,ZAMAUSDT
2026-04-11T00:30:00+00:00,FFUSDT
2026-04-11T00:30:00+00:00,HYPERUSDT
2026-04-11T01:00:00+00:00,SOONUSDT
2026-04-11T01:15:00+00:00,MIRAUSDT
2026-04-11T02:45:00+00:00,IDUSDT
2026-04-11T04:15:00+00:00,ARBUSDT
2026-04-11T04:30:00+00:00,ZAMAUSDT
2026-04-11T05:00:00+00:00,SOONUSDT
2026-04-11T05:45:00+00:00,WLFIUSDT
2026-04-11T06:45:00+00:00,MMTUSDT
2026-04-11T07:00:00+00:00,COWUSDT
2026-04-11T07:15:00+00:00,IDUSDT
2026-04-11T09:30:00+00:00,SOONUSDT
2026-04-11T11:30:00+00:00,IDUSDT
2026-04-11T11:45:00+00:00,COWUSDT
2026-04-11T16:00:00+00:00,CCUSDT
2026-04-11T17:00:00+00:00,SOONUSDT
2026-04-11T23:00:00+00:00,SOONUSDT
2026-04-12T00:45:00+00:00,IDUSDT
2026-04-12T01:30:00+00:00,1000BONKUSDT
2026-04-12T01:30:00+00:00,1000PEPEUSDT
2026-04-12T01:30:00+00:00,1000SHIBUSDT
2026-04-12T01:30:00+00:00,AAVEUSDT
2026-04-12T01:30:00+00:00,APTUSDT
2026-04-12T01:30:00+00:00,AVAXUSDT
2026-04-12T01:30:00+00:00,BCHUSDT
2026-04-12T01:30:00+00:00,ENSUSDT
2026-04-12T01:30:00+00:00,ETCUSDT
2026-04-12T01:30:00+00:00,FILUSDT
2026-04-12T01:30:00+00:00,HBARUSDT
2026-04-12T01:30:00+00:00,LINKUSDT
2026-04-12T01:30:00+00:00,LSKUSDT
2026-04-12T01:30:00+00:00,MONUSDT
2026-04-12T01:30:00+00:00,NEARUSDT
2026-04-12T01:30:00+00:00,PENDLEUSDT
2026-04-12T01:30:00+00:00,PENGUUSDT
2026-04-12T01:30:00+00:00,PUMPUSDT
2026-04-12T01:30:00+00:00,RENDERUSDT
2026-04-12T01:30:00+00:00,SANDUSDT
2026-04-12T01:30:00+00:00,SEIUSDT
2026-04-12T01:30:00+00:00,SOPHUSDT
2026-04-12T01:30:00+00:00,STXUSDT
2026-04-12T01:30:00+00:00,SUIUSDT
2026-04-12T01:30:00+00:00,UNIUSDT
2026-04-12T01:30:00+00:00,VIRTUALUSDT
2026-04-12T01:30:00+00:00,VVVUSDT
2026-04-12T01:30:00+00:00,WLFIUSDT
2026-04-12T01:45:00+00:00,ZAMAUSDT
2026-04-12T04:30:00+00:00,SOONUSDT
2026-04-12T08:45:00+00:00,PIEVERSEUSDT
2026-04-12T09:30:00+00:00,IDUSDT
2026-04-12T10:45:00+00:00,AVNTUSDT
2026-04-12T12:45:00+00:00,AWEUSDT
2026-04-12T13:15:00+00:00,0GUSDT
2026-04-12T13:30:00+00:00,MONUSDT
2026-04-12T14:45:00+00:00,PIEVERSEUSDT
2026-04-12T17:15:00+00:00,0GUSDT
