utc,cluster_size,btc_ret15,symbols
2026-04-10T18:15:00+00:00,1,-0.00147,AKEUSDT
2026-04-10T19:15:00+00:00,1,-0.00242,WLFIUSDT
2026-04-10T22:30:00+00:00,1,-0.00214,DASHUSDT
2026-04-11T00:00:00+00:00,2,-0.00123,ARBUSDT|MORPHOUSDT
2026-04-11T02:30:00+00:00,1,0.0001,LITUSDT
2026-04-11T04:15:00+00:00,3,-0.00159,ARBUSDT|EVAAUSDT|UBUSDT
2026-04-11T05:45:00+00:00,1,-0.00115,WLFIUSDT
2026-04-11T08:15:00+00:00,1,-0.00035,VELVETUSDT
2026-04-11T08:45:00+00:00,1,-0.00104,EVAAUSDT
2026-04-11T09:00:00+00:00,1,0.00018,AKEUSDT
2026-04-11T09:45:00+00:00,1,0.00112,MAGMAUSDT
2026-04-11T11:15:00+00:00,1,-0.00056,GWEIUSDT
2026-04-11T11:30:00+00:00,1,0.00032,DASHUSDT
2026-04-11T12:15:00+00:00,1,-0.00077,AEROUSDT
2026-04-11T12:30:00+00:00,1,0.00127,TACUSDT
2026-04-11T13:00:00+00:00,1,-0.0046,AKEUSDT
2026-04-11T15:15:00+00:00,1,0.00064,GWEIUSDT
2026-04-11T16:45:00+00:00,1,-0.00113,TACUSDT
2026-04-11T18:30:00+00:00,1,0.00375,USUSDT
2026-04-11T22:45:00+00:00,1,0.00059,AEROUSDT
2026-04-12T01:30:00+00:00,36,-0.01764,1000BONKUSDT|1000PEPEUSDT|1000SHIBUSDT|AAVEUSDT|ADAUSDT|APTUSDT|AVAXUSDT|BCHUSDT|BNBUSDT|CRVUSDT|DASHUSDT|ETCUSDT|FARTCOINUSDT|FETUSDT|FILUSDT|HBARUSDT|LDOUSDT|LINKUSDT|LTCUSDT|MSTRUSDT|NEARUSDT|ONDOUSDT|OPUSDT|PENDLEUSDT|PENGUUSDT|PUMPUSDT|RENDERUSDT|SEIUSDT|SUIUSDT|TIAUSDT|UNIUSDT|VIRTUALUSDT|VVVUSDT|WLDUSDT|WLFIUSDT|XLMUSDT
2026-04-12T02:15:00+00:00,2,-5e-05,AMZNUSDT|INTCUSDT
2026-04-12T02:30:00+00:00,1,0.0016,AKEUSDT
2026-04-12T07:00:00+00:00,2,-0.00037,LITUSDT|ORDIUSDT
2026-04-12T10:00:00+00:00,1,0.00125,TACUSDT
2026-04-12T11:45:00+00:00,1,0.00037,VELVETUSDT
2026-04-12T12:45:00+00:00,2,-0.00561,GWEIUSDT|TLMUSDT
2026-04-12T14:00:00+00:00,1,0.00136,ICPUSDT
2026-04-12T16:15:00+00:00,1,-7e-05,EPICUSDT
2026-04-12T18:00:00+00:00,1,0.00051,EVAAUSDT
2026-04-12T18:45:00+00:00,1,0.00023,LABUSDT
2026-04-12T22:00:00+00:00,1,-0.00573,PAXGUSDT
2026-04-13T00:00:00+00:00,1,0.00245,MSTRUSDT
2026-04-13T03:45:00+00:00,1,-2e-05,USUSDT
2026-04-13T04:45:00+00:00,1,-0.00187,DOTUSDT
2026-04-13T05:00:00+00:00,1,-0.00095,LDOUSDT
2026-04-13T05:30:00+00:00,1,-0.00161,AAVEUSDT
2026-04-13T05:45:00+00:00,1,0.00191,VELVETUSDT
2026-04-13T06:30:00+00:00,1,0.00032,TACUSDT
2026-04-13T08:00:00+00:00,1,-0.00139,ORDIUSDT
2026-04-13T10:00:00+00:00,1,0.00036,EVAAUSDT
2026-04-13T10:30:00+00:00,1,0.00012,TACUSDT
2026-04-13T11:15:00+00:00,1,-0.00018,ALLOUSDT
2026-04-13T13:30:00+00:00,2,-0.002,AMZNUSDT|MSTRUSDT
2026-04-13T13:45:00+00:00,2,0.0087,INTCUSDT|MORPHOUSDT
2026-04-13T14:00:00+00:00,4,-0.00057,CRCLUSDT|TSLAUSDT|VVVUSDT|WLDUSDT
