utc,cluster_size,btc_ret15,symbols
2026-04-10T00:15:00+00:00,1,0.0012,KRW-HOLO
2026-04-10T01:45:00+00:00,1,-0.0015,KRW-AWE
2026-04-10T03:45:00+00:00,1,-0.00077,KRW-TAO
2026-04-10T05:00:00+00:00,1,-0.00083,KRW-MON
2026-04-10T05:15:00+00:00,1,0.00218,KRW-CFG
2026-04-10T07:45:00+00:00,2,-0.00213,KRW-AWE|KRW-WLFI
2026-04-10T08:00:00+00:00,1,0.00191,KRW-POL
2026-04-10T10:00:00+00:00,1,0.00013,KRW-SAND
2026-04-10T10:30:00+00:00,1,0.00038,KRW-WAVES
2026-04-10T12:45:00+00:00,1,5e-05,KRW-MON
2026-04-10T13:30:00+00:00,2,-0.00284,KRW-FF|KRW-STX
2026-04-10T18:30:00+00:00,1,-0.00068,KRW-SKR
2026-04-10T19:15:00+00:00,2,-0.00206,KRW-FF|KRW-WLFI
2026-04-10T20:15:00+00:00,1,0.00054,KRW-AVNT
2026-04-11T00:00:00+00:00,2,0.0001,KRW-FF|KRW-WLFI
2026-04-11T00:30:00+00:00,1,-0.00028,KRW-HYPER
2026-04-11T00:45:00+00:00,1,-0.00125,KRW-ZORA
2026-04-11T01:00:00+00:00,1,-0.00031,KRW-RED
2026-04-11T01:15:00+00:00,2,0.00055,KRW-ID|KRW-MIRA
2026-04-11T01:45:00+00:00,1,0.001,KRW-MMT
2026-04-11T03:45:00+00:00,1,-0.00106,KRW-MET2
2026-04-11T04:00:00+00:00,1,-0.00071,KRW-CRO
2026-04-11T04:15:00+00:00,1,-0.00172,KRW-ARB
2026-04-11T06:45:00+00:00,1,0.00097,KRW-MMT
2026-04-11T07:00:00+00:00,1,0.00011,KRW-COW
2026-04-11T07:15:00+00:00,1,0.00092,KRW-ID
2026-04-11T08:15:00+00:00,1,0.00119,KRW-ZBT
2026-04-11T08:30:00+00:00,1,-0.0012,KRW-AKT
2026-04-11T09:00:00+00:00,1,0.00033,KRW-MET2
2026-04-11T11:30:00+00:00,1,0.0,KRW-ID
2026-04-11T11:45:00+00:00,1,-0.00011,KRW-COW
2026-04-12T00:00:00+00:00,1,3e-05,KRW-COW
2026-04-12T00:45:00+00:00,1,0.00076,KRW-ID
2026-04-12T01:30:00+00:00,15,-0.01604,KRW-ARB|KRW-BCH|KRW-CRO|KRW-ENS|KRW-ETC|KRW-FIL|KRW-LINK|KRW-PENDLE|KRW-PENGU|KRW-SAND|KRW-STX|KRW-SUI|KRW-VIRTUAL|KRW-WLFI|KRW-ZKP
2026-04-12T01:45:00+00:00,3,-0.00138,KRW-MOVE|KRW-W|KRW-WAVES
2026-04-12T09:30:00+00:00,1,-0.00063,KRW-ID
2026-04-12T12:45:00+00:00,1,-0.00474,KRW-AWE
2026-04-12T13:30:00+00:00,1,-0.00174,KRW-W
2026-04-12T16:15:00+00:00,2,0.0,KRW-0G|KRW-KAITO
2026-04-12T22:30:00+00:00,1,-0.0002,KRW-LAYER
2026-04-12T23:00:00+00:00,1,-0.00259,KRW-CHZ
2026-04-13T00:15:00+00:00,1,0.00191,KRW-ID
2026-04-13T00:30:00+00:00,1,0.00036,KRW-PLUME
