utc,symbol,trigger,ret15,volz
2026-04-07T12:00:00+00:00,1000SHIBUSDT,A,-0.00463,4.51
2026-04-07T12:00:00+00:00,ORDIUSDT,A,-0.00863,4.1
2026-04-07T12:00:00+00:00,PENGUUSDT,A,-0.00657,3.89
2026-04-07T12:15:00+00:00,LABUSDT,B,0.00434,3.06
2026-04-07T13:00:00+00:00,INTCUSDT,B,0.03795,21.5
2026-04-07T13:30:00+00:00,AMZNUSDT,B,0.00274,6.88
2026-04-07T13:30:00+00:00,COINUSDT,A,-0.01357,5.35
2026-04-07T13:30:00+00:00,LITUSDT,B,0.01325,3.19
2026-04-07T13:30:00+00:00,MSTRUSDT,B,0.00359,6.19
2026-04-07T13:30:00+00:00,PLTRUSDT,B,0.00027,4.78
2026-04-07T13:30:00+00:00,TSLAUSDT,A,-0.00433,11.04
2026-04-07T13:45:00+00:00,INTCUSDT,A,-0.00882,10.79
2026-04-07T14:00:00+00:00,DOTUSDT,A,-0.00493,3.86
2026-04-07T14:15:00+00:00,ALGOUSDT,B,0.02476,5.64
2026-04-07T14:15:00+00:00,RIFUSDT,B,0.00233,3.24
2026-04-07T14:45:00+00:00,BEATUSDT,B,0.02466,3.47
2026-04-07T15:30:00+00:00,TSLAUSDT,B,0.00027,3.41
2026-04-07T16:00:00+00:00,ATOMUSDT,B,0.00587,3.19
2026-04-07T16:00:00+00:00,ETCUSDT,B,0.0077,3.06
2026-04-07T17:00:00+00:00,HOMEUSDT,B,0.01041,4.64
2026-04-07T17:30:00+00:00,1000SHIBUSDT,B,0.01216,4.09
2026-04-07T17:45:00+00:00,ZROUSDT,B,0.02564,4.69
2026-04-07T18:45:00+00:00,LABUSDT,B,0.00806,3.05
2026-04-07T19:45:00+00:00,AMZNUSDT,B,0.00338,4.12
2026-04-07T19:45:00+00:00,ARBUSDT,B,0.01786,6.25
2026-04-07T19:45:00+00:00,AVAXUSDT,B,0.01279,3.62
2026-04-07T19:45:00+00:00,HOODUSDT,B,0.01015,3.3
2026-04-07T19:45:00+00:00,TSLAUSDT,B,0.00963,3.84
2026-04-07T20:00:00+00:00,SUIUSDT,B,0.00213,3.46
2026-04-07T20:30:00+00:00,LABUSDT,A,-0.01651,19.64
2026-04-07T21:00:00+00:00,1000BONKUSDT,B,0.01473,3.58
2026-04-07T21:00:00+00:00,BCHUSDT,B,0.00767,3.1
2026-04-07T21:00:00+00:00,CRVUSDT,B,0.02392,3.12
2026-04-07T21:00:00+00:00,DOTUSDT,B,0.01542,4.97
2026-04-07T21:00:00+00:00,FETUSDT,B,0.02317,3.51
2026-04-07T21:00:00+00:00,LITUSDT,B,0.02416,3.26
2026-04-07T21:30:00+00:00,DEXEUSDT,A,-0.0617,9.35
2026-04-07T21:30:00+00:00,NEARUSDT,B,0.02022,3.78
2026-04-07T21:45:00+00:00,DASHUSDT,B,0.00523,4.06
2026-04-07T22:00:00+00:00,1000PEPEUSDT,B,0.02278,4.18
2026-04-07T22:00:00+00:00,WIFUSDT,B,0.01252,4.29
2026-04-07T22:30:00+00:00,1000SHIBUSDT,B,0.00996,9.33
2026-04-07T22:30:00+00:00,AAVEUSDT,B,0.01907,7.58
2026-04-07T22:30:00+00:00,ADAUSDT,B,0.0157,8.49
2026-04-07T22:30:00+00:00,BNBUSDT,B,0.00181,4.7
2026-04-07T22:30:00+00:00,DEXEUSDT,B,0.02207,5.22
2026-04-07T22:30:00+00:00,ENAUSDT,B,0.01839,5.47
2026-04-07T22:30:00+00:00,ETCUSDT,B,0.01381,5.84
2026-04-07T22:30:00+00:00,FARTCOINUSDT,B,0.02148,4.0
2026-04-07T22:30:00+00:00,FILUSDT,B,0.00665,3.29
2026-04-07T22:30:00+00:00,INJUSDT,B,0.01129,3.28
2026-04-07T22:30:00+00:00,JUPUSDT,B,0.01662,5.89
2026-04-07T22:30:00+00:00,LINKUSDT,B,0.01118,5.41
2026-04-07T22:30:00+00:00,LTCUSDT,B,0.00775,5.0
2026-04-07T22:30:00+00:00,MORPHOUSDT,B,0.01336,3.01
2026-04-07T22:30:00+00:00,MSTRUSDT,B,0.01206,3.16
2026-04-07T22:30:00+00:00,ONDOUSDT,B,0.01723,5.09
2026-04-07T22:30:00+00:00,OPUSDT,B,0.01307,5.44
2026-04-07T22:30:00+00:00,ORDIUSDT,B,0.01288,4.16
2026-04-07T22:30:00+00:00,PAXGUSDT,B,0.00723,3.36
2026-04-07T22:30:00+00:00,PENDLEUSDT,B,0.01623,5.68
2026-04-07T22:30:00+00:00,PENGUUSDT,B,0.01019,5.23
2026-04-07T22:30:00+00:00,PUMPUSDT,B,0.00939,4.42
2026-04-07T22:30:00+00:00,TAOUSDT,B,0.0131,3.48
2026-04-07T22:30:00+00:00,TIAUSDT,B,0.01195,4.68
2026-04-07T22:30:00+00:00,VIRTUALUSDT,B,0.01577,5.08
2026-04-07T22:30:00+00:00,XLMUSDT,B,0.0091,4.49
2026-04-07T22:30:00+00:00,XMRUSDT,B,0.00477,5.01
2026-04-07T22:45:00+00:00,LABUSDT,B,0.01996,4.18
2026-04-07T22:45:00+00:00,RENDERUSDT,B,0.0332,3.77
2026-04-07T23:00:00+00:00,DASHUSDT,A,-0.00594,4.55
2026-04-07T23:00:00+00:00,DOTUSDT,A,-0.01136,4.05
2026-04-07T23:00:00+00:00,EIGENUSDT,B,0.01272,3.97
2026-04-07T23:00:00+00:00,HBARUSDT,B,0.01532,17.69
2026-04-07T23:00:00+00:00,LDOUSDT,B,0.01451,3.82
2026-04-07T23:00:00+00:00,LITUSDT,A,-0.02181,4.66
2026-04-07T23:00:00+00:00,ZROUSDT,B,0.00073,3.12
2026-04-07T23:15:00+00:00,ALGOUSDT,B,0.03109,4.14
2026-04-07T23:30:00+00:00,AAVEUSDT,A,-0.01011,4.28
2026-04-07T23:30:00+00:00,AVAXUSDT,A,-0.0073,4.35
2026-04-07T23:30:00+00:00,EPICUSDT,B,0.01191,3.26
2026-04-07T23:30:00+00:00,MSTRUSDT,A,-0.00697,5.1
2026-04-07T23:45:00+00:00,HOODUSDT,B,0.00578,14.18
2026-04-08T00:00:00+00:00,AEROUSDT,B,0.00784,3.62
2026-04-08T01:00:00+00:00,LABUSDT,A,-0.01698,7.45
2026-04-08T03:30:00+00:00,LABUSDT,B,0.05054,7.25
2026-04-08T03:30:00+00:00,PENDLEUSDT,A,-0.019,4.2
2026-04-08T05:00:00+00:00,HBARUSDT,B,0.00182,5.16
2026-04-08T05:00:00+00:00,TIAUSDT,B,0.00781,3.09
2026-04-08T05:00:00+00:00,XLMUSDT,B,0.00521,3.61
2026-04-08T06:00:00+00:00,ATOMUSDT,B,0.00167,3.62
2026-04-08T07:00:00+00:00,AKEUSDT,A,-0.03069,5.19
2026-04-08T07:00:00+00:00,KAITOUSDT,B,0.01465,4.43
2026-04-08T07:30:00+00:00,HBARUSDT,A,-0.01382,6.47
2026-04-08T07:45:00+00:00,NEARUSDT,B,0.00672,4.45
2026-04-08T08:00:00+00:00,LITUSDT,A,-0.0177,5.07
2026-04-08T08:30:00+00:00,LABUSDT,B,0.01148,3.04
2026-04-08T08:45:00+00:00,KAITOUSDT,A,-0.01373,4.57
