symbol,n,median_spread,p75_spread,roundtrip_lower_bound,hours_utc,hours_kst
KRW-ZRO,100,0.002173,0.002886,0.003173,0|2|9|17|21|22,2|6|7|9|11|18
KRW-TRUMP,100,0.000667,0.001002,0.001667,0|2|9|17|21|22,2|6|7|9|11|18
KRW-XEC,100,0.002137,0.003190,0.003137,0|2|9|17|21|22,2|6|7|9|11|18
KRW-RVN,100,0.005141,0.005222,0.006141,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ZAMA,100,0.004338,0.004364,0.005338,0|2|9|17|21|22,2|6|7|9|11|18
KRW-GEOD,100,0.003373,0.006689,0.004373,0|2|9|17|21|22,2|6|7|9|11|18
KRW-AKT,100,0.004364,0.005789,0.005364,0|2|9|17|21|22,2|6|7|9|11|18
KRW-FIL,100,0.001874,0.002782,0.002874,0|2|9|17|21|22,2|6|7|9|11|18
KRW-APT,100,0.002635,0.002674,0.003635,0|2|9|17|21|22,2|6|7|9|11|18
KRW-DRV,100,0.005115,0.005168,0.006115,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ID,100,0.004444,0.004545,0.005444,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SOON,100,0.003976,0.007752,0.004976,0|2|9|17|21|22,2|6|7|9|11|18
KRW-O,100,0.003883,0.004051,0.004883,0|2|9|17|21|22,2|6|7|9|11|18
KRW-AVNT,100,0.007117,0.007168,0.008117,0|2|9|17|21|22,2|6|7|9|11|18
KRW-TREE,100,0.003670,0.003697,0.004670,0|2|9|17|21|22,2|6|7|9|11|18
KRW-KITE,100,0.005831,0.005900,0.006831,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BLEND,100,0.003474,0.003511,0.004474,0|2|9|17|21|22,2|6|7|9|11|18
KRW-MANTRA,100,0.003252,0.004963,0.004252,0|2|9|17|21|22,2|6|7|9|11|18
KRW-CFG,100,0.006780,0.007018,0.007780,0|2|9|17|21|22,2|6|7|9|11|18
KRW-GAS,100,0.002375,0.002448,0.003375,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BERA,100,0.004124,0.004158,0.005124,0|2|9|17|21|22,2|6|7|9|11|18
KRW-MEGA,100,0.003937,0.003984,0.004937,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SOPH,100,0.002789,0.004556,0.003789,0|2|9|17|21|22,2|6|7|9|11|18
KRW-UP2,100,0.002825,0.002853,0.003825,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ZORA,100,0.009569,0.009756,0.010569,0|2|9|17|21|22,2|6|7|9|11|18
KRW-OPG,100,0.007326,0.007380,0.008326,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BSV,100,0.003236,0.003257,0.004235,0|2|9|17|21|22,2|6|7|9|11|18
KRW-HYPER,100,0.003365,0.003399,0.004365,0|2|9|17|21|22,2|6|7|9|11|18
KRW-TRAC,100,0.004525,0.008791,0.005525,0|2|9|17|21|22,2|6|7|9|11|18
KRW-IN,100,0.004329,0.004425,0.005329,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ATH,100,0.003185,0.004736,0.004185,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ETHFI,100,0.002574,0.002685,0.003574,0|2|9|17|21|22,2|6|7|9|11|18
KRW-MON,100,0.002821,0.005464,0.003821,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ZIL,100,0.008463,0.011364,0.009463,0|2|9|17|21|22,2|6|7|9|11|18
KRW-B3,100,0.004743,0.004827,0.005743,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ELSA,100,0.003210,0.004819,0.004210,0|2|9|17|21|22,2|6|7|9|11|18
KRW-JUP,100,0.003407,0.003454,0.004407,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SIGN,100,0.008032,0.008032,0.009032,0|2|9|17|21|22,2|6|7|9|11|18
KRW-FLOCK,100,0.002112,0.003810,0.003112,0|2|9|17|21|22,2|6|7|9|11|18
KRW-DEEP,100,0.005089,0.005115,0.006089,0|2|9|17|21|22,2|6|7|9|11|18
KRW-G,100,0.003839,0.003922,0.004839,0|2|9|17|21|22,2|6|7|9|11|18
KRW-INJ,100,0.005754,0.009281,0.006754,0|2|9|17|21|22,2|6|7|9|11|18
KRW-VVV,100,0.003112,0.003552,0.004112,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BIGTIME,100,0.002247,0.002268,0.003247,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BIO,100,0.005666,0.005731,0.006666,0|2|9|17|21|22,2|6|7|9|11|18
KRW-RENDER,100,0.002029,0.002581,0.003029,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BARD,100,0.005831,0.005970,0.006831,0|2|9|17|21|22,2|6|7|9|11|18
KRW-CHZ,100,0.005420,0.005450,0.006420,0|2|9|17|21|22,2|6|7|9|11|18
KRW-LSK,100,0.007326,0.007435,0.008326,0|2|9|17|21|22,2|6|7|9|11|18
KRW-CRO,100,0.002656,0.003945,0.003656,0|2|9|17|21|22,2|6|7|9|11|18
KRW-VANA,100,0.002468,0.003292,0.003468,0|2|9|17|21|22,2|6|7|9|11|18
KRW-LAYER,100,0.002132,0.003160,0.003132,0|2|9|17|21|22,2|6|7|9|11|18
KRW-RED,100,0.006349,0.006557,0.007349,0|2|9|17|21|22,2|6|7|9|11|18
KRW-DOT,100,0.002489,0.002501,0.003489,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ATOM,100,0.001974,0.002465,0.002974,0|2|9|17|21|22,2|6|7|9|11|18
KRW-DOOD,100,0.005450,0.005540,0.006450,0|2|9|17|21|22,2|6|7|9|11|18
KRW-XAUT,100,0.001855,0.001996,0.002855,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BORA,100,0.003339,0.003350,0.004339,0|2|9|17|21|22,2|6|7|9|11|18
KRW-AWE,100,0.002356,0.002367,0.003356,0|2|9|17|21|22,2|6|7|9|11|18
KRW-WAVES,100,0.003350,0.006601,0.004350,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ZKP,100,0.003289,0.003300,0.004289,0|2|9|17|21|22,2|6|7|9|11|18
KRW-EDGE,100,0.004301,0.005277,0.005301,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ELF,100,0.004515,0.005640,0.005515,0|2|9|17|21|22,2|6|7|9|11|18
KRW-AI,100,0.003781,0.007407,0.004781,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SNT,100,0.002265,0.004410,0.003265,0|2|9|17|21|22,2|6|7|9|11|18
KRW-OPEN,100,0.005865,0.005970,0.006865,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SKR,100,0.003339,0.006135,0.004339,0|2|9|17|21|22,2|6|7|9|11|18
KRW-MET2,100,0.003824,0.007519,0.004824,0|2|9|17|21|22,2|6|7|9|11|18
KRW-FF,100,0.007326,0.007605,0.008326,0|2|9|17|21|22,2|6|7|9|11|18
KRW-KAT,100,0.003221,0.003263,0.004221,0|2|9|17|21|22,2|6|7|9|11|18
KRW-W,100,0.007605,0.007663,0.008605,0|2|9|17|21|22,2|6|7|9|11|18
KRW-PENDLE,100,0.001623,0.002000,0.002623,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SPK,100,0.003643,0.007092,0.004643,0|2|9|17|21|22,2|6|7|9|11|18
KRW-PYTH,100,0.002667,0.002762,0.003667,0|2|9|17|21|22,2|6|7|9|11|18
KRW-STEEM,100,0.003384,0.003413,0.004384,0|2|9|17|21|22,2|6|7|9|11|18
KRW-COW,100,0.005900,0.011561,0.006900,0|2|9|17|21|22,2|6|7|9|11|18
